"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Astrocyte_Oligos","log2fold_change","Auc"
"65","Scd2","hurdle",4.81690048449569e-29,1.055878,3.381166,2.325288,0.925
"34","Mag","hurdle",5.69818120661374e-33,0.7475877,2.9638676,2.2162799,0.914
"13","Cnp","hurdle",4.27488021934867e-28,2.228493,4.30448,2.075987,0.909
"70","Slc1a2","hurdle",1.01957070008599e-25,2.22891,4.326066,2.097156,0.896
"45","Ndrg2","hurdle",7.05878552351846e-25,0.4309656,2.4771813,2.0462157,0.892
"11","Cldn11","hurdle",1.75690488713261e-35,1.864879,3.225787,1.360908,0.892
"39","Mog","hurdle",7.11264955379029e-40,0.9398322,2.5418628,1.6020306,0.885
"42","Mt1","hurdle",1.96592381253696e-21,2.783332,4.490761,1.707429,0.883
"52","Plp1","hurdle",2.88297377393226e-28,5.635804,7.351118,1.715314,0.882
"35","Mal","hurdle",6.41695130246853e-28,1.74511,3.634494,1.889384,0.877
"83","Tubb4a","hurdle",7.41727354820602e-24,0.9078684,2.7928111,1.8849427,0.875
"74","Syt11","hurdle",9.84015453797805e-21,1.545466,3.438916,1.89345,0.874
"38","Mobp","hurdle",9.5532911302582e-31,2.104337,3.497164,1.392827,0.87
"23","Glul","hurdle",2.80323000178704e-19,1.470504,3.098973,1.628469,0.87
"12","Clu","hurdle",1.08206481671222e-22,0.8757134,2.9360615,2.0603481,0.87
"36","Mbp","hurdle",2.11343089909987e-25,2.994794,4.242586,1.247792,0.869
"78","Trf","hurdle",9.54100127019466e-21,0.6267361,2.3444659,1.7177298,0.859
"80","Tspan2","hurdle",6.15683968330866e-24,0.2321404,2.1157133,1.8835729,0.851
"20","Fth1","hurdle",9.86121561868667e-15,4.960509,6.213058,1.252549,0.85
"43","Mt2","hurdle",1.20523809779401e-18,0.9510061,2.7201387,1.7691326,0.847
"44","Mt3","hurdle",3.76660796624056e-18,2.208105,3.697367,1.489262,0.844
"58","Qdpr","hurdle",2.63248327039462e-20,-0.03014475,1.4077288,1.43787355,0.843
"2","Aldoc","hurdle",3.32039353309143e-26,1.182369,2.588539,1.40617,0.843
"82","Ttyh1","hurdle",2.51359196890547e-19,0.2780352,2.0430913,1.7650561,0.842
"5","Atp1a2","hurdle",1.00782131625085e-19,1.742774,3.311763,1.568989,0.842
"59","Qk","hurdle",4.26608520085468e-16,0.9620941,2.5471242,1.5850301,0.837
"14","Cpe","hurdle",1.46024397126411e-15,0.9141104,2.3565035,1.4423931,0.83
"15","Cryab","hurdle",1.61338674195788e-21,1.972475,2.801643,0.829168,0.828
"66","Sept4","hurdle",7.79531239024604e-19,0.5790819,1.9428638,1.3637819,0.819
"47","Olig1","hurdle",1.07179068022524e-17,0.0950948,2.0871017,1.9920069,0.819
"71","Slc1a3","hurdle",9.94807621547173e-18,0.09142732,1.52968806,1.43826074,0.814
"10","Ckb","hurdle",8.38411396259379e-13,1.081987,2.420973,1.338986,0.81
"1","Actb","hurdle",9.83056303552605e-12,1.545466,2.541863,0.996397,0.81
"3","Aplp1","hurdle",5.03184222697919e-13,1.0866,2.136806,1.050206,0.8
"81","Tspan7","hurdle",1.05061544878278e-13,0.8164088,1.9899893,1.1735805,0.799
"73","Stmn4","hurdle",1.77651251686574e-14,0.380767,1.902382,1.521615,0.796
"51","Pllp","hurdle",4.10566092054076e-17,0.1984409,1.6022527,1.4038118,0.796
"48","Opalin","hurdle",5.11616434871074e-26,0.401649,1.442026,1.040377,0.794
"55","Psap","hurdle",5.19937369821062e-12,0.9270286,1.958744,1.0317154,0.789
"9","Car2","hurdle",9.27331892020498e-14,0.9408516,2.1227784,1.1819268,0.789
"56","Ptgds","hurdle",1.86663890808103e-19,1.072716,2.171289,1.098573,0.786
"54","Ppp1r14a","hurdle",5.61851214907529e-20,0.3287586,1.3961128,1.0673542,0.786
"27","Gsn","hurdle",2.47009529093382e-16,-0.5499351,1.1692427,1.7191778,0.786
"26","Gpm6b","hurdle",6.12697855917232e-11,0.7626551,2.012987,1.2503319,0.784
"33","Lamp1","hurdle",1.12972252156153e-10,0.7832613,1.9744512,1.1911899,0.779
"79","Tsc22d4","hurdle",1.06758736194388e-10,0.9042146,1.926807,1.0225924,0.777
"53","Plpp3","hurdle",1.05170128607507e-12,-0.1783244,1.9428638,2.1211882,0.777
"37","Mmd2","hurdle",4.16426744412343e-12,-0.01326513,1.33658727,1.3498524,0.777
"40","mt.Nd2","hurdle",1.63885763102273e-10,2.30253,3.486249,1.183719,0.776
"24","Gm42418","hurdle",4.81191583603864e-17,0.6216595,3.4389157,2.8172562,0.775
"68","Shisa4","hurdle",1.10674653479666e-12,0.3611022,1.4532794,1.0921772,0.774
"7","Bin1","hurdle",6.08380455912254e-11,-0.003427412,1.430683863,1.434111275,0.774
"60","Rhob","hurdle",2.70989472258768e-10,0.116906,1.475526,1.35862,0.765
"72","Slc48a1","hurdle",3.72760907188758e-10,0.115101,1.396113,1.281012,0.764
"32","Kif1b","hurdle",2.01898887036129e-09,0.1525409,1.4865227,1.3339818,0.756
"21","Gatm","hurdle",6.15310584088732e-11,0.1357241,1.2228309,1.0871068,0.747
"4","Arpc1a","hurdle",5.45535603112468e-09,0.5031331,1.6223323,1.1191992,0.745
"16","Cspg5","hurdle",1.89778989371416e-11,0.1975882,1.2617549,1.0641667,0.743
"30","Hmgcs1","hurdle",9.00384526353127e-09,-0.2532864,1.4755265,1.7288129,0.732
"17","Dbi","hurdle",1.3997983617553e-07,1.792467,2.420973,0.628506,0.726
"57","Ptn","hurdle",1.64777260146499e-10,1.893329,2.827819,0.93449,0.721
"76","Tmeff2","hurdle",3.39146660517139e-11,0.1285842,1.0107037,0.8821195,0.714
"41","mt.Nd4","hurdle",3.47344819538819e-05,3.11335,3.644347,0.530997,0.712
"18","Elavl3","hurdle",3.02756531951195e-08,0.4468394,1.3725965,0.9257571,0.712
"64","S100a16","hurdle",5.35602228194452e-07,0.4215029,1.2996562,0.8781533,0.708
"63","Rtn4","hurdle",9.61582902903265e-08,0.4660851,1.0408551,0.57477,0.707
"49","Pantr1","hurdle",3.02929402315467e-10,0.3770061,0.9799086,0.6029025,0.705
"25","Gnai2","hurdle",1.53141117252071e-05,0.1569341,0.8152266,0.6582925,0.699
"75","Tmbim6","hurdle",4.85903074254023e-05,0.7440881,1.4865227,0.7424346,0.688
"61","Rnf7","hurdle",9.68979251637463e-06,0.5526522,1.0703893,0.5177371,0.675
"50","Pea15a","hurdle",4.07189493277894e-05,0.4982941,1.113587,0.6152929,0.675
"69","Sirt2","hurdle",0.000108365921883789,0.8119586,1.3486905,0.5367319,0.672
"67","Sept7","hurdle",3.43585897817111e-05,0.3193828,0.8325669,0.5131841,0.667
"31","Itm2c","hurdle",0.00101170920709918,0.2288056,1.0107037,0.7818981,0.655
"62","Rtn3","hurdle",0.00232888492359889,0.5784271,1.3120719,0.7336448,0.648
"85","Ywhaq","hurdle",0.00149323162501278,0.2043954,1.5402806,1.3358852,0.643
"84","X1810037I17Rik","hurdle",0.00102279495973274,0.9701049,1.7736373,0.8035324,0.638
"19","Fez1","hurdle",0.00339112960201875,0.3822686,1.1828275,0.8005589,0.632
"22","Gde1","hurdle",0.00712241073825156,-0.01030676,0.66844749,0.67875425,0.629
"29","Hist1h2bc","hurdle",0.0313995926872815,-0.08511121,0.505026,0.59013721,0.606
"28","Gstm5","hurdle",0.0189387486057337,-0.02118388,0.86663445,0.88781833,0.603
"46","Nrxn1","hurdle",0.0057756388829104,0.005369536,1.182827514,1.177457978,0.596
"8","Calr","hurdle",0.0107195610545121,0.2396155,1.2617549,1.0221394,0.587
"6","Atxn7l3b","hurdle",0.46178350529812,0.6355773,1.4420259,0.8064486,0.547
"77","Tmem234","hurdle",0.473560247023706,-0.006371689,0.526495077,0.532866766,0.526
