"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Vascular","log2fold_change","Auc"
"7","Bsg","hurdle",6.38017787692917e-292,0.858419,5.985227,5.126808,0.943
"85","Tsc22d1","hurdle",2.67218624534018e-156,0.3193853,3.5325663,3.213181,0.935
"27","Igfbp7","hurdle",1.86986956717088e-200,-2.787754,3.183963,5.971717,0.93
"11","Cldn5","hurdle",5.76237756303302e-202,-2.563349,4.288949,6.852298,0.923
"28","Itm2a","hurdle",5.17036698774851e-184,-2.49782,2.968644,5.466464,0.914
"78","Sparc","hurdle",6.02755224067796e-118,0.4023927,3.5864045,3.1840118,0.903
"33","Ly6c1","hurdle",1.79298519267854e-180,-2.827456,2.550901,5.378357,0.894
"35","Myl6","hurdle",1.05608717407876e-117,0.01152264,2.66357234,2.6520497,0.89
"20","Flt1","hurdle",1.40439141271508e-175,-2.851813,2.343692,5.195505,0.888
"24","Gng11","hurdle",3.18486395475811e-118,-0.6886358,2.0908534,2.7794892,0.883
"26","Id3","hurdle",3.98870526689073e-106,-0.2132721,2.5340616,2.7473337,0.881
"13","Crip2","hurdle",4.05621298916081e-106,-0.7928537,2.1269729,2.9198266,0.875
"5","Atox1","hurdle",4.24285209231431e-85,0.2206415,2.3033424,2.0827009,0.834
"9","Car4","hurdle",1.25457066249068e-125,-2.843648,2.285698,5.129346,0.824
"48","Rgs5","hurdle",3.95602601940617e-126,-2.689367,2.530071,5.219438,0.818
"80","Spock2","hurdle",2.15673456969262e-70,-0.5100435,2.0496308,2.5596743,0.804
"82","Tmsb10","hurdle",2.32066361102855e-53,2.564823,4.242145,1.677322,0.789
"86","Tspan13","hurdle",3.16031814100887e-54,-0.7426477,1.3357119,2.0783596,0.769
"75","Sepp1","hurdle",9.18902503050052e-46,0.2647347,2.1322478,1.8675131,0.763
"32","Laptm4a","hurdle",5.87735542190955e-41,-0.5710789,1.2773897,1.8484686,0.73
"59","Rpl38","hurdle",4.43130877147724e-31,1.711287,2.878137,1.16685,0.727
"77","Snx3","hurdle",4.93439773311113e-32,0.1209111,1.4114262,1.2905151,0.722
"47","Rgcc","hurdle",1.15910388818033e-37,-0.6034545,1.4915966,2.0950511,0.721
"3","Arpc1b","hurdle",4.44305431664457e-34,0.5760125,1.3696061,0.7935936,0.713
"31","Junb","hurdle",2.4062293533189e-30,0.7117027,2.1190241,1.4073214,0.711
"44","Ptma","hurdle",2.5883334225807e-26,2.142239,2.753605,0.611366,0.701
"15","Dynll1","hurdle",4.32432967520037e-22,1.856478,2.56267,0.706192,0.695
"64","Rps16","hurdle",1.47828375325578e-22,2.052674,2.928276,0.875602,0.692
"22","Gnai2","hurdle",2.91607587103321e-28,-0.2054043,1.3196179,1.5250222,0.689
"79","Sparcl1","hurdle",2.00735990734712e-26,0.7123951,1.708408,0.9960129,0.687
"83","Tmsb4x","hurdle",1.60561556142981e-22,4.445038,5.399308,0.95427,0.679
"38","Pomp","hurdle",7.70109234635959e-20,0.358835,1.340277,0.981442,0.678
"30","Jun","hurdle",2.66951808442895e-20,0.4538116,1.5811102,1.1272986,0.678
"23","Gnas","hurdle",5.6396958382751e-17,1.437908,2.171207,0.733299,0.678
"76","Shfm1","hurdle",8.02434183933005e-18,0.7780234,1.5694911,0.7914677,0.677
"46","Rabac1","hurdle",1.07607627049106e-19,-0.1439602,0.9107327,1.0546929,0.676
"66","Rps19","hurdle",2.48707700088814e-18,2.927044,3.695548,0.768504,0.675
"8","Calm1","hurdle",7.3867669633428e-20,2.494512,3.107018,0.612506,0.673
"68","Rps27","hurdle",1.45878063191651e-16,2.729837,3.408712,0.678875,0.668
"36","Naca","hurdle",1.91613470032867e-16,1.108235,1.956057,0.847822,0.664
"84","Tpt1","hurdle",5.81431775658397e-17,1.27452,2.069015,0.794495,0.662
"6","Atp5j","hurdle",1.19216060247045e-14,1.614969,2.250962,0.635993,0.661
"45","Ptn","hurdle",1.1749643896861e-15,1.685073,2.784923,1.09985,0.657
"63","Rps14","hurdle",5.76740543224297e-16,3.060689,3.848398,0.787709,0.656
"51","Rpl18a","hurdle",6.86146511405467e-17,2.381301,3.244278,0.862977,0.656
"16","Edf1","hurdle",2.55225200105463e-14,0.3711643,1.1216786,0.7505143,0.656
"87","Ubb","hurdle",1.31625054393893e-15,2.200401,2.978928,0.778527,0.653
"29","Itm2b","hurdle",1.03647961481888e-12,2.129594,2.733788,0.604194,0.651
"12","Cnbp","hurdle",1.74985247064392e-12,0.5272655,1.2091414,0.6818759,0.648
"58","Rpl37a","hurdle",1.90099227140875e-13,2.745819,3.327112,0.581293,0.641
"72","Rps7","hurdle",1.86179356821079e-12,2.252743,3.03984,0.787097,0.639
"74","Sec61b","hurdle",2.66146471422529e-12,-0.1154205,0.6995516,0.8149721,0.638
"67","Rps20","hurdle",4.54994265869375e-12,1.159402,1.960512,0.80111,0.637
"19","Eif3k","hurdle",1.66019925551073e-12,0.009270543,0.964953053,0.95568251,0.635
"17","Eif3f","hurdle",2.00086663699264e-12,0.2098947,1.1003049,0.8904102,0.635
"57","Rpl36","hurdle",2.11009160027504e-11,1.820645,2.440421,0.619776,0.634
"37","Pfn1","hurdle",5.79014001976645e-13,1.112438,2.155749,1.043311,0.632
"25","H3f3a","hurdle",5.93379265654288e-12,0.3010906,0.8543947,0.5533041,0.627
"56","Rpl35","hurdle",2.8365146642868e-09,1.710248,2.293959,0.583711,0.626
"1","Akr1a1","hurdle",3.46325163828232e-09,0.3338557,0.9290335,0.5951778,0.626
"81","Tmem59","hurdle",3.92435165698587e-11,0.1072878,1.0114956,0.9042078,0.625
"4","Arpc2","hurdle",2.10032011621155e-10,0.1477777,0.7587296,0.6109519,0.625
"40","Ppp1ca","hurdle",1.06690583758517e-10,0.2177185,1.1137005,0.895982,0.624
"55","Rpl34","hurdle",9.63631957784119e-10,1.287123,1.961994,0.674871,0.623
"70","Rps5","hurdle",2.96720209416441e-10,2.350497,2.935083,0.584586,0.621
"65","Rps18","hurdle",6.21290727821295e-09,2.11945,2.724214,0.604764,0.618
"52","Rpl22","hurdle",1.46790874789632e-10,0.2872158,1.1557492,0.8685334,0.618
"49","Rpl13","hurdle",1.89431788416309e-09,3.207883,3.726395,0.518512,0.618
"61","Rpl9","hurdle",1.03824872470201e-09,2.462563,3.025738,0.563175,0.613
"54","Rpl27","hurdle",5.33373249470696e-09,1.150744,1.885965,0.735221,0.613
"39","Ppia","hurdle",2.31875621591525e-07,1.166493,1.739848,0.573355,0.611
"10","Cdc42","hurdle",4.62070268418287e-11,0.05911144,0.85758296,0.79847152,0.611
"41","Prdx1","hurdle",3.48486201478864e-09,-0.5181422,0.1269729,0.6451151,0.61
"14","Dad1","hurdle",3.95662329512594e-08,-0.1277597,0.7553149,0.8830746,0.607
"71","Rps6","hurdle",2.69096987790384e-07,1.881012,2.43082,0.549808,0.606
"34","Med28","hurdle",2.7596754642638e-07,-0.01918141,0.48954294,0.50872435,0.601
"69","Rps3a1","hurdle",1.16664446902277e-06,2.147368,2.709291,0.561923,0.599
"2","Arf1","hurdle",7.49673794853505e-07,0.04158684,0.7031007,0.66151386,0.599
"42","Psma7","hurdle",2.7200900612622e-06,0.2853557,0.8351156,0.5497599,0.598
"73","Rps9","hurdle",3.42345104337429e-06,2.536366,3.092207,0.555841,0.594
"50","Rpl18","hurdle",1.23708175234614e-05,1.024293,1.54201,0.517717,0.587
"60","Rpl7","hurdle",1.05005004278054e-05,1.351209,1.929033,0.577824,0.586
"53","Rpl23","hurdle",4.90826998645843e-05,2.071415,2.57628,0.504865,0.583
"62","Rplp0","hurdle",4.52795241507223e-05,2.209012,2.721591,0.512579,0.581
"21","Gm10260","hurdle",9.02153245899809e-05,0.1292312,0.8543947,0.7251635,0.572
"18","Eif3h","hurdle",0.000409510906630761,0.07427276,0.61164454,0.53737178,0.569
"43","Ptgds","hurdle",1.12909949818782e-13,0.771394,2.192825,1.421431,0.436
